tax_sp_level,N,N_human_impacted,N_mines,N_impacted_total,AOO_all,AOO_left,nbe_occ_protected_area,AOO_without_impact,AOO_decline,Category_code_CA
Kleinia triantha,2,0,0,0,8,0,0,8,0,LC or NT
Kleinia tuberculata,1,0,0,0,4,0,0,4,0,LC or NT
Kleinia vermicularis,3,0,0,0,12,0,0,12,0,LC or NT
Kniphofia benguellensis,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia bequaertii,7,0,0,0,20,0,5,20,0,LC or NT
Kniphofia brachystachya,2,0,0,0,8,0,1,8,0,LC or NT
Kniphofia dubia,3,2,0,2,12,8,0,4,66.66666666666666,EN
Kniphofia ensifolia,1,0,0,0,4,0,1,4,0,LC or NT
Kniphofia fluviatilis,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia foliosa,9,9,0,8,36,32,1,4,88.88888888888889,CR
Kniphofia goetzei,10,0,0,0,40,0,8,40,0,LC or NT
Kniphofia grantii,12,1,0,1,40,4,4,36,10,LC or NT
Kniphofia hildebrandtii,2,1,0,1,8,4,0,4,50,EN
Kniphofia ichopensis,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia insignis,1,1,0,1,4,4,0,0,100,CR
Kniphofia isoetifolia,9,9,0,8,36,32,1,4,88.88888888888889,CR
Kniphofia laxiflora,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia mulanjeana,1,0,0,0,4,0,1,4,0,LC or NT
Kniphofia nana,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia paludosa,5,0,0,0,20,0,2,20,0,LC or NT
Kniphofia princeae,2,1,0,1,8,4,1,4,50,EN
Kniphofia pumila,11,6,0,6,44,24,0,20,54.54545454545454,EN
Kniphofia reflexa,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia reynoldsii,1,0,0,0,4,0,0,4,0,LC or NT
Kniphofia ritualis,1,0,0,0,4,0,1,4,0,LC or NT
Kniphofia schimperi,9,9,0,9,36,36,0,0,100,CR
Kniphofia splendida,19,0,0,0,56,0,17,56,0,LC or NT
Kniphofia thomsonii,6,0,0,0,24,0,3,24,0,LC or NT
Kniphofia uvaria,1,1,0,1,4,4,0,0,100,CR
Knoxia manika,5,0,0,0,20,0,0,20,0,LC or NT
Kohautia amatymbica,1,0,0,0,4,0,0,4,0,LC or NT
Kohautia angolensis,1,0,0,0,4,0,0,4,0,LC or NT
Kohautia aspera,12,6,0,6,44,20,0,24,45.45454545454545,VU
Kohautia caespitosa,28,5,0,5,100,20,0,80,20,LC or NT
Kohautia coccinea,109,35,3,37,384,136,13,248,35.41666666666667,VU
Kohautia confusa,5,3,0,3,16,8,0,8,50,EN
Kohautia cuspidata,5,0,0,0,20,0,4,20,0,LC or NT
Kohautia cynanchica,7,1,1,1,28,4,0,24,14.285714285714285,LC or NT
Kohautia euryantha,4,0,0,0,8,0,4,8,0,LC or NT
Kohautia grandiflora,39,16,1,16,152,64,2,88,42.10526315789473,VU
Kohautia kimuenzae,24,3,1,4,80,12,1,68,15,LC or NT
Kohautia lasiocarpa,7,1,0,1,28,4,1,24,14.285714285714285,LC or NT
Kohautia longifolia,3,0,0,0,8,0,2,8,0,LC or NT
Kohautia microcala,4,0,0,0,12,0,0,12,0,LC or NT
Kohautia obtusiloba,23,3,2,4,84,16,2,68,19.047619047619047,LC or NT
Kohautia platyphylla,12,11,0,11,44,40,0,4,90.9090909090909,CR
Kohautia prolixipes,5,1,0,0,20,0,1,20,0,LC or NT
Kohautia sarcophylla,1,0,0,0,4,0,0,4,0,LC or NT
Kohautia subverticillata,11,5,1,5,44,20,1,24,45.45454545454545,VU
Kohautia tenuis,67,28,1,24,228,88,9,140,38.59649122807017,VU
Kolobopetalum auriculatum,63,12,0,12,208,40,13,168,19.230769230769234,LC or NT
Kolobopetalum chevalieri,9,1,0,1,32,4,4,28,12.5,LC or NT
Kolobopetalum leonense,23,16,2,11,84,40,8,44,47.61904761904761,VU
Kolobopetalum ovatum,54,30,4,32,208,124,3,84,59.61538461538461,EN
Korupodendron songweanum,12,0,0,0,40,0,4,40,0,LC or NT
Kosmosiphon azureus,8,2,0,1,32,4,1,28,12.5,LC or NT
Kosteletzkya adoensis,74,15,2,15,240,52,14,188,21.666666666666668,LC or NT
Kosteletzkya begoniifolia,2,0,0,0,8,0,0,8,0,LC or NT
Kosteletzkya buettneri,8,2,0,2,32,8,1,24,25,LC or NT
Kosteletzkya grantii,16,4,0,4,52,12,1,40,23.076923076923077,LC or NT
Kosteletzkya racemosa,1,0,0,0,4,0,0,4,0,LC or NT
Kosteletzkya stellata,1,0,0,0,4,0,0,4,0,LC or NT
Kotschya aeschynomenoides,78,23,5,26,272,84,17,188,30.88235294117647,VU
Kotschya africana,80,33,4,34,276,108,9,168,39.130434782608695,VU
Kotschya bullockii,2,0,0,0,8,0,0,8,0,LC or NT
Kotschya capitulifera,18,7,1,8,68,28,0,40,41.17647058823529,VU
Kotschya carsonii,60,7,4,6,180,16,21,164,8.88888888888889,LC or NT
Kotschya coalescens,9,1,1,2,36,8,2,28,22.22222222222222,LC or NT
Kotschya eurycalyx,4,0,0,0,16,0,1,16,0,LC or NT
Kotschya goetzei,1,1,0,1,4,4,0,0,100,CR
Kotschya imbricata,1,0,0,0,4,0,1,4,0,LC or NT
Kotschya longiloba,2,0,0,0,8,0,0,8,0,LC or NT
Kotschya lutea,18,14,9,4,52,12,12,40,23.076923076923077,LC or NT
Kotschya micrantha,8,8,5,0,24,0,8,24,0,LC or NT
Kotschya ochreata,25,18,8,9,72,24,11,48,33.33333333333333,VU
Kotschya oubanguiensis,1,0,0,0,4,0,0,4,0,LC or NT
Kotschya platyphylla,12,0,0,0,36,0,12,36,0,LC or NT
Kotschya princeana,12,0,0,0,44,0,5,44,0,LC or NT
Kotschya prittwitzii,13,6,3,6,36,16,1,20,44.44444444444444,VU
Kotschya recurvifolia,73,8,0,6,236,24,38,212,10.16949152542373,LC or NT
Kotschya scaberrima,20,3,0,3,64,12,14,52,18.75,LC or NT
Kotschya schweinfurthii,5,1,0,1,20,4,0,16,20,LC or NT
Kotschya speciosa,8,1,0,1,32,4,0,28,12.5,LC or NT
Kotschya stolonifera,9,2,0,2,20,4,0,16,20,LC or NT
Kotschya strigosa,71,7,2,8,260,28,5,232,10.76923076923077,LC or NT
Kotschya strobilantha,23,2,0,2,76,8,6,68,10.526315789473683,LC or NT
Kotschya suberifera,1,0,0,0,4,0,0,4,0,LC or NT
Kotschya thymodora,50,0,0,0,156,0,22,156,0,LC or NT
Kotschya uguenensis,27,1,0,1,96,4,11,92,4.166666666666666,LC or NT
Krauseola gillettii,2,0,0,0,8,0,0,8,0,LC or NT
Krauseola mosambicina,4,0,0,0,16,0,0,16,0,LC or NT
Kraussia floribunda,16,0,0,0,60,0,1,60,0,LC or NT
Kraussia kirkii,83,7,3,8,260,32,11,228,12.307692307692308,LC or NT
Kraussia schlechteri,1,0,0,0,4,0,0,4,0,LC or NT
Kraussia speciosa,41,0,4,4,124,8,17,116,6.451612903225806,LC or NT
Kupea jonii,1,0,0,0,4,0,0,4,0,LC or NT
Kyllinga brevifolia,3,0,0,0,12,0,1,12,0,LC or NT
Kyllinga brunneoalata,3,0,0,0,12,0,0,12,0,LC or NT
Kyllinga chrysanthoides,1,0,0,0,4,0,0,4,0,LC or NT
Kyllinga filicula,3,0,0,0,12,0,0,12,0,LC or NT
Kyllinga microbracteata,1,0,0,0,4,0,1,4,0,LC or NT
Kyllinga microbulbosa,1,0,0,0,4,0,0,4,0,LC or NT
Kyllinga nervosa,8,1,0,1,32,4,1,28,12.5,LC or NT
Kyllingiella microcephala,16,6,0,6,64,24,3,40,37.5,VU
Kyllingiella polyphylla,2,0,0,0,8,0,0,8,0,LC or NT
Kyphocarpa angustifolia,7,2,0,2,28,8,0,20,28.57142857142857,LC or NT
Lablab purpureus,72,21,0,19,284,72,10,212,25.352112676056336,LC or NT
Laccodiscus ferrugineus,62,5,0,4,192,16,24,176,8.333333333333332,LC or NT
Laccodiscus klaineanus,45,2,1,3,152,12,10,140,7.894736842105263,LC or NT
Laccodiscus pseudostipularis,29,5,2,6,116,24,8,92,20.689655172413794,LC or NT
Laccodiscus spinulosodentatus,8,1,0,1,32,4,1,28,12.5,LC or NT
Laccosperma acutiflorum,30,5,3,6,116,20,5,96,17.24137931034483,LC or NT
Laccosperma korupense,13,0,1,1,44,4,1,40,9.090909090909092,LC or NT
Laccosperma laeve,55,30,4,20,188,72,23,116,38.297872340425535,VU
Laccosperma opacum,123,31,5,23,392,76,25,316,19.387755102040817,LC or NT
Laccosperma robustum,77,7,0,5,232,20,16,212,8.620689655172415,LC or NT
Laccosperma secundiflorum,173,59,3,39,532,136,47,396,25.563909774436087,LC or NT
Lachenalia carnosa,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia neglecta,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia peersii,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia purpureo-caerulea,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia salteri,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia unicolor,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia unifolia,1,0,0,0,4,0,0,4,0,LC or NT
Lachenalia violacea,1,0,0,0,4,0,0,4,0,LC or NT
Lachnaea axillaris,1,0,0,0,4,0,0,4,0,LC or NT
Lachnaea diosmoides,1,0,0,0,4,0,0,4,0,LC or NT
Lachnaea ericoides,2,0,0,0,4,0,0,4,0,LC or NT
Lachnaea filamentosa,1,0,0,0,4,0,0,4,0,LC or NT
Lachnaea globulifera,4,0,0,0,8,0,0,8,0,LC or NT
Lachnaea grandiflora,1,0,0,0,4,0,0,4,0,LC or NT
Lachnaea laxa,1,0,0,0,4,0,0,4,0,LC or NT
Lachnaea naviculifolia,3,0,0,0,12,0,0,12,0,LC or NT
Lachnaea penicillata,1,0,0,0,4,0,0,4,0,LC or NT
Lachnagrostis lachnantha,6,3,0,3,24,12,0,12,50,EN
Lachnospermum fasciculatum,3,0,0,0,12,0,0,12,0,LC or NT
Lachnostylis hirta,1,0,0,0,4,0,0,4,0,LC or NT
Lactuca ambacensis,1,0,0,0,4,0,0,4,0,LC or NT
Lactuca attenuata,28,2,0,1,76,4,14,72,5.263157894736842,LC or NT
Lactuca calophylla,3,0,0,0,12,0,2,12,0,LC or NT
Lactuca corymbosa,4,0,0,0,16,0,0,16,0,LC or NT
Lactuca glandulifera,40,7,2,7,132,28,17,104,21.21212121212121,LC or NT
Lactuca homblei,1,0,0,0,4,0,0,4,0,LC or NT
Lactuca imbricata,4,0,0,0,16,0,0,16,0,LC or NT
Lactuca inermis,161,45,5,42,560,164,40,396,29.28571428571429,LC or NT
Lactuca lasiorhiza,6,0,0,0,24,0,2,24,0,LC or NT
Lactuca longispicata,3,0,0,0,12,0,2,12,0,LC or NT
Lactuca malaissei,3,0,0,0,4,0,0,4,0,LC or NT
Lactuca marunguensis,6,0,0,0,24,0,0,24,0,LC or NT
Lactuca mwinilungensis,3,1,0,1,12,4,0,8,33.33333333333333,VU
Lactuca paradoxa,11,4,0,4,40,16,4,24,40,VU
Lactuca praecox,2,0,0,0,8,0,1,8,0,LC or NT
Lactuca praevia,14,5,1,3,56,12,3,44,21.428571428571427,LC or NT
Lactuca schulzeana,29,2,0,2,80,4,0,76,5,LC or NT
Lactuca schweinfurthii,5,0,0,0,20,0,0,20,0,LC or NT
Lactuca setosa,4,1,1,1,16,4,0,12,25,LC or NT
Lactuca stipulata,5,1,0,0,16,0,4,16,0,LC or NT
Lactuca tinctociliata,24,1,0,1,76,4,0,72,5.263157894736842,LC or NT
Lactuca ugandensis,7,2,0,2,24,4,0,20,16.666666666666664,LC or NT
Lactuca zambesiaca,6,0,0,0,20,0,0,20,0,LC or NT
Lagarosiphon cordofanus,6,1,0,1,24,4,1,20,16.666666666666664,LC or NT
Lagarosiphon hydrilloides,7,2,0,2,28,8,0,20,28.57142857142857,LC or NT
Lagarosiphon ilicifolius,4,1,1,1,16,4,0,12,25,LC or NT
Lagarosiphon major,5,1,0,1,20,4,0,16,20,LC or NT
Lagarosiphon muscoides,2,1,0,1,8,4,0,4,50,EN
Lagarosiphon steudneri,2,2,0,2,8,8,0,0,100,CR
Lagarosiphon verticillifolius,1,0,0,0,4,0,0,4,0,LC or NT
Lagenantha gillettii,3,0,0,0,12,0,0,12,0,LC or NT
Lagenaria abyssinica,22,6,0,4,76,16,7,60,21.052631578947366,LC or NT
Lagenaria breviflora,65,12,2,8,228,28,10,200,12.280701754385964,LC or NT
Lagenaria guineensis,19,6,2,5,68,20,6,48,29.411764705882355,LC or NT
Lagenaria rufa,8,3,0,2,28,8,4,20,28.57142857142857,LC or NT
Lagenaria siceraria,82,30,1,27,236,72,8,164,30.508474576271187,VU
Lagenaria sphaerica,22,5,1,5,88,20,1,68,22.727272727272727,LC or NT
Lagenias pusillus,1,0,0,0,4,0,0,4,0,LC or NT
Laggera alata,2,0,0,0,8,0,1,8,0,LC or NT
Laggera brevipes,28,5,2,7,108,28,6,80,25.925925925925924,LC or NT
Laggera crispata,140,42,6,37,476,140,31,336,29.411764705882355,LC or NT
Laggera decurrens,2,0,0,0,8,0,0,8,0,LC or NT
Laggera elatior,4,0,0,0,16,0,2,16,0,LC or NT
Laggera gracilis,6,1,0,1,24,4,0,20,16.666666666666664,LC or NT
Laggera oloptera,3,1,0,1,12,4,0,8,33.33333333333333,VU
Laggera tomentosa,3,3,0,3,12,12,0,0,100,CR
Laguncularia racemosa,40,5,3,7,140,24,1,116,17.142857142857142,LC or NT
Lagynias dryadum,6,2,0,2,24,8,0,16,33.33333333333333,VU
Lagynias lasiantha,20,1,0,1,68,4,1,64,5.88235294117647,LC or NT
Lagynias monteiroi,1,0,0,0,4,0,0,4,0,LC or NT
Lagynias pallidiflora,45,0,1,1,112,4,31,108,3.571428571428571,LC or NT
Lagynias rufescens,12,0,0,0,32,0,11,32,0,LC or NT
Lamarckia aurea,2,2,0,2,8,8,0,0,100,CR
Lamium amplexicaule,1,1,0,1,4,4,0,0,100,CR
Lampranthus haworthii,1,0,0,0,4,0,0,4,0,LC or NT
Lampranthus otzenianus,1,0,0,0,4,0,0,4,0,LC or NT
Lampranthus scaber,2,1,0,1,8,4,0,4,50,EN
Lampranthus schlechteri,1,0,0,0,4,0,0,4,0,LC or NT
Lampranthus tulbaghensis,1,0,0,0,4,0,0,4,0,LC or NT
Lamprothamnus zanguebaricus,62,5,3,5,208,16,11,192,7.6923076923076925,LC or NT
Lanaria lanata,4,0,0,0,16,0,0,16,0,LC or NT
Landolphia angustisepala,4,1,0,1,16,4,0,12,25,LC or NT
Landolphia axillaris,2,0,0,0,8,0,0,8,0,LC or NT
Landolphia breviloba,16,0,0,0,56,0,0,56,0,LC or NT
Landolphia bruneelii,14,1,1,2,56,8,2,48,14.285714285714285,LC or NT
Landolphia buchananii,81,13,0,12,300,44,15,256,14.666666666666666,LC or NT
Landolphia calabarica,61,38,2,34,184,104,9,80,56.52173913043478,EN
Landolphia camptoloba,11,1,0,1,40,4,0,36,10,LC or NT
Landolphia congolensis,50,10,1,10,180,32,5,148,17.77777777777778,LC or NT
Landolphia cuneifolia,7,0,0,0,28,0,2,28,0,LC or NT
Landolphia dewevrei,55,1,0,0,196,0,10,196,0,LC or NT
Landolphia dulcis,175,72,10,61,568,216,31,352,38.028169014084504,VU
Landolphia eminiana,5,0,1,1,20,4,0,16,20,LC or NT
Landolphia ferrea,25,1,0,1,68,4,0,64,5.88235294117647,LC or NT
Landolphia flavidiflora,6,1,0,1,24,4,0,20,16.666666666666664,LC or NT
Landolphia foretiana,86,20,6,18,296,68,17,228,22.972972972972975,LC or NT
Landolphia glabra,79,8,1,5,268,16,10,252,5.970149253731343,LC or NT
Landolphia glandulosa,21,1,1,2,76,8,1,68,10.526315789473683,LC or NT
Landolphia heudelotii,44,12,2,11,156,40,8,116,25.64102564102564,LC or NT
Landolphia hirsuta,100,48,8,32,332,120,34,212,36.144578313253014,VU
Landolphia incerta,159,50,4,43,548,124,32,424,22.62773722627737,LC or NT
Landolphia jumellei,24,1,0,1,80,4,1,76,5,LC or NT
Landolphia kirkii,46,4,4,6,156,20,11,136,12.82051282051282,LC or NT
Landolphia lanceolata,6,3,0,3,24,12,0,12,50,EN
Landolphia landolphioides,41,4,0,4,124,8,2,116,6.451612903225806,LC or NT
Landolphia le-testui,15,1,0,1,44,4,2,40,9.090909090909092,LC or NT
Landolphia lecomtei,12,0,0,0,48,0,0,48,0,LC or NT
Landolphia leptantha,44,16,0,4,108,12,13,96,11.11111111111111,LC or NT
Landolphia ligustrifolia,55,4,0,4,184,16,4,168,8.695652173913043,LC or NT
Landolphia macrantha,5,1,0,1,16,4,0,12,25,LC or NT
Landolphia mannii,53,6,1,4,176,16,11,160,9.090909090909092,LC or NT
Landolphia maxima,8,1,1,2,32,8,3,24,25,LC or NT
Landolphia membranacea,65,53,4,42,168,108,18,60,64.28571428571429,EN
Landolphia micrantha,74,53,8,32,224,112,36,112,50,EN
Landolphia nitidula,24,13,2,11,88,40,4,48,45.45454545454545,VU
Landolphia noctiflora,14,1,0,1,52,4,1,48,7.6923076923076925,LC or NT
Landolphia owariensis,332,84,11,59,980,192,78,788,19.591836734693878,LC or NT
Landolphia parvifolia,35,2,1,3,128,12,8,116,9.375,LC or NT
Landolphia pyramidata,19,0,0,0,56,0,1,56,0,LC or NT
Landolphia reticulata,18,0,0,0,68,0,3,68,0,LC or NT
Landolphia robustior,78,14,1,13,248,36,7,212,14.516129032258066,LC or NT
Landolphia rufescens,6,0,0,0,24,0,0,24,0,LC or NT
Landolphia stenogyna,17,0,1,1,60,4,0,56,6.666666666666667,LC or NT
Landolphia subrepanda,28,0,0,0,64,0,2,64,0,LC or NT
Landolphia thollonii,3,1,0,1,12,4,0,8,33.33333333333333,VU
Landolphia togolana,40,22,1,15,128,52,12,76,40.625,VU
Landolphia uniflora,8,1,0,1,12,4,0,8,33.33333333333333,VU
Landolphia utilis,1,1,0,1,4,4,0,0,100,CR
Landolphia villosa,6,0,0,0,24,0,2,24,0,LC or NT
Landolphia violacea,41,7,0,7,140,24,5,116,17.142857142857142,LC or NT
Landolphia watsoniana,18,2,3,3,56,12,6,44,21.428571428571427,LC or NT
Lankesteria alba,27,0,1,1,88,4,7,84,4.545454545454546,LC or NT
Lankesteria barteri,14,2,0,2,52,4,4,48,7.6923076923076925,LC or NT
Lankesteria brevior,102,62,2,38,336,148,34,188,44.047619047619044,VU
Lankesteria elegans,196,71,0,49,520,124,41,396,23.846153846153847,LC or NT
Lankesteria hispida,21,11,3,13,72,44,3,28,61.111111111111114,EN
Lankesteria thyrsoidea,17,5,0,3,60,12,8,48,20,LC or NT
Lannea acida,89,40,2,39,336,148,8,188,44.047619047619044,VU
Lannea alata,8,2,0,2,28,8,1,20,28.57142857142857,LC or NT
Lannea antiscorbutica,13,0,0,0,44,0,5,44,0,LC or NT
Lannea asymmetrica,3,1,1,1,12,4,0,8,33.33333333333333,VU
Lannea barteri,51,10,0,3,148,12,18,136,8.108108108108109,LC or NT
Lannea cotoneaster,6,0,0,0,24,0,1,24,0,LC or NT
Lannea discolor,15,2,2,4,60,16,1,44,26.666666666666668,LC or NT
Lannea ebolowensis,5,0,0,0,20,0,1,20,0,LC or NT
Lannea edulis,20,1,0,1,80,4,2,76,5,LC or NT
Lannea fruticosa,22,12,1,12,84,48,2,36,57.14285714285714,EN
Lannea fulva,30,9,0,7,100,28,11,72,28.000000000000004,LC or NT
Lannea gossweileri,8,0,1,1,32,4,1,28,12.5,LC or NT
Lannea humilis,20,9,0,8,80,32,2,48,40,VU
Lannea katangensis,6,0,0,0,20,0,4,20,0,LC or NT
Lannea malifolia,2,1,0,1,8,4,0,4,50,EN
Lannea nigritana,46,14,3,13,148,40,10,108,27.027027027027028,LC or NT
Lannea obovata,1,0,0,0,4,0,0,4,0,LC or NT
Lannea rivae,8,2,0,2,32,8,0,24,25,LC or NT
Lannea rubra,3,0,0,0,8,0,0,8,0,LC or NT
Lannea schimperi,73,32,2,32,256,116,7,140,45.3125,VU
Lannea schweinfurthii,139,22,9,21,496,76,18,420,15.32258064516129,LC or NT
Lannea triphylla,10,0,0,0,36,0,0,36,0,LC or NT
Lannea velutina,18,7,0,7,68,28,2,40,41.17647058823529,VU
Lannea welwitschii,134,30,3,22,396,64,30,332,16.161616161616163,LC or NT
Lantana angolensis,7,1,0,1,28,4,1,24,14.285714285714285,LC or NT
Lantana dinteri,1,1,0,1,4,4,0,0,100,CR
Lantana rugosa,5,2,0,2,20,8,0,12,40,VU
Lantana salvifolia,5,1,1,2,16,8,0,8,50,EN
Lantana subtracta,1,1,0,1,4,4,0,0,100,CR
Lantana swynnertonii,1,0,0,0,4,0,0,4,0,LC or NT
Lantana trifolia,68,22,1,18,268,68,13,200,25.37313432835821,LC or NT
Lantana ukambensis,111,35,1,28,396,104,25,292,26.262626262626267,LC or NT
Lantana viburnoides,60,12,0,9,208,32,22,176,15.384615384615385,LC or NT
Lapeirousia abyssinica,3,3,0,3,12,12,0,0,100,CR
Lapeirousia bainesii,1,1,0,1,4,4,0,0,100,CR
Lapeirousia barklyi,1,0,0,0,4,0,1,4,0,LC or NT
Lapeirousia erythrantha,22,5,1,6,80,20,1,60,25,LC or NT
Lapeirousia fabricii,1,0,0,0,4,0,0,4,0,LC or NT
Lapeirousia gariepina,1,0,0,0,4,0,0,4,0,LC or NT
Lapeirousia littoralis,2,1,0,1,8,4,0,4,50,EN
Lapeirousia masukuensis,1,0,0,0,4,0,0,4,0,LC or NT
Lapeirousia maximiliani,1,0,0,0,4,0,0,4,0,LC or NT
Lapeirousia odoratissima,2,1,0,1,8,4,0,4,50,EN
Lapeirousia rivularis,3,1,0,1,12,4,0,8,33.33333333333333,VU
Lapeirousia sandersonii,1,1,0,1,4,4,0,0,100,CR
Lapeirousia schimperi,7,0,0,0,28,0,0,28,0,LC or NT
Lapeirousia silenoides,1,0,0,0,4,0,0,4,0,LC or NT
Lapeirousia simulans,1,0,0,0,4,0,0,4,0,LC or NT
Lapeirousia teretifolia,4,0,0,0,12,0,1,12,0,LC or NT
Laportea aestuans,78,26,2,22,288,84,12,204,29.166666666666668,LC or NT
Laportea alatipes,41,2,0,2,136,8,15,128,5.88235294117647,LC or NT
Laportea interrupta,7,0,0,0,28,0,5,28,0,LC or NT
Laportea lanceolata,36,0,3,3,128,12,10,116,9.375,LC or NT
Laportea mooreana,7,1,0,1,28,4,3,24,14.285714285714285,LC or NT
Laportea ovalifolia,125,29,0,26,448,80,22,368,17.857142857142858,LC or NT
Laportea peduncularis,4,0,0,0,16,0,1,16,0,LC or NT
Lasianthera africana,256,20,4,23,836,56,50,780,6.698564593301436,LC or NT
Lasianthus africanus,19,1,0,1,52,4,14,48,7.6923076923076925,LC or NT
Lasianthus batangensis,268,85,10,47,816,156,80,660,19.11764705882353,LC or NT
Lasianthus cereiflorus,32,2,2,2,84,4,27,80,4.761904761904762,LC or NT
Lasianthus glomeruliflorus,20,0,0,0,48,0,19,48,0,LC or NT
Lasianthus kilimandscharicus,129,16,0,12,372,36,70,336,9.67741935483871,LC or NT
Lasianthus laxinervis,11,0,0,0,32,0,3,32,0,LC or NT
Lasianthus macrocalyx,20,2,0,2,40,4,21,36,10,LC or NT
Lasianthus mayumbensis,23,0,0,0,76,0,5,76,0,LC or NT
Lasianthus microcalyx,20,1,0,1,28,4,34,24,14.285714285714285,LC or NT
Lasianthus pedunculatus,49,1,0,1,136,4,43,132,2.941176470588235,LC or NT
Lasianthus repens,77,11,15,12,260,44,18,216,16.923076923076923,LC or NT
Lasianthus seseensis,8,0,0,0,32,0,1,32,0,LC or NT
Lasianthus urophylloides,11,0,0,0,32,0,6,32,0,LC or NT
Lasianthus wallacei,18,1,1,1,48,4,23,44,8.333333333333332,LC or NT
Lasimorpha senegalensis,87,28,4,25,332,100,13,232,30.120481927710845,VU
Lasiodiscus chevalieri,28,21,0,17,96,68,6,28,70.83333333333334,EN
Lasiodiscus fasciculiflorus,90,46,17,31,296,108,34,188,36.486486486486484,VU
Lasiodiscus gillardinii,3,1,0,1,12,4,0,8,33.33333333333333,VU
Lasiodiscus lebrunii,5,3,0,0,12,0,3,12,0,LC or NT
Lasiodiscus mannii,61,8,3,6,196,16,11,180,8.16326530612245,LC or NT
Lasiodiscus marmoratus,56,13,3,16,176,36,13,140,20.454545454545457,LC or NT
Lasiodiscus mildbraedii,39,12,0,3,96,12,19,84,12.5,LC or NT
Lasiodiscus palustris,11,1,1,1,44,4,4,40,9.090909090909092,LC or NT
Lasiodiscus pervillei,24,0,1,0,84,0,5,84,0,LC or NT
Lasiodiscus usambarensis,22,1,0,1,68,4,19,64,5.88235294117647,LC or NT
Lasiopogon micropoides,1,0,0,0,4,0,0,4,0,LC or NT
Lasiospermum bipinnatum,1,1,0,1,4,4,0,0,100,CR
Lasiospermum schlechteri,1,0,0,0,4,0,0,4,0,LC or NT
Lasiurus hirsutus,4,0,0,0,16,0,1,16,0,LC or NT
Lasiurus scindicus,4,0,0,0,16,0,0,16,0,LC or NT
Lastreopsis barteriana,8,0,0,0,32,0,5,32,0,LC or NT
Lastreopsis currorii,13,2,0,1,48,4,4,44,8.333333333333332,LC or NT
Lastreopsis davalliaeformis,6,0,0,0,20,0,3,20,0,LC or NT
Lastreopsis efulensis,30,11,4,9,116,36,5,80,31.03448275862069,VU
Lastreopsis nigritiana,11,2,1,3,40,8,3,32,20,LC or NT
Lastreopsis subsimilis,17,8,0,4,56,16,8,40,28.57142857142857,LC or NT
Lastreopsis vogelii,7,2,0,2,28,8,0,20,28.57142857142857,LC or NT
Lathyrus hygrophilus,15,1,2,3,48,8,5,40,16.666666666666664,LC or NT
Lathyrus sphaericus,3,3,0,3,12,12,0,0,100,CR
Launaea amal-aminae,1,0,0,0,4,0,0,4,0,LC or NT
Launaea arborescens,4,NA,0,0,16,0,0,16,0,LC or NT
Launaea benadirensis,1,0,0,0,4,0,0,4,0,LC or NT
Launaea brunneri,2,0,0,0,8,0,0,8,0,LC or NT
Launaea cabrae,12,0,0,0,44,0,2,44,0,LC or NT
Launaea capitata,3,0,0,0,8,0,0,8,0,LC or NT
Launaea cornuta,56,13,3,13,212,52,8,160,24.528301886792452,LC or NT
Launaea hafunensis,4,0,0,0,16,0,1,16,0,LC or NT
Launaea intybacea,32,NA,0,10,120,32,3,88,26.666666666666668,LC or NT
Launaea massauensis,3,0,0,0,12,0,0,12,0,LC or NT
Launaea nana,21,7,1,6,76,20,5,56,26.31578947368421,LC or NT
Launaea petitiana,7,4,0,4,28,16,0,12,57.14285714285714,EN
Launaea picridioides,1,NA,0,0,4,0,0,4,0,LC or NT
Launaea pseudoabyssinica,2,0,0,0,8,0,0,8,0,LC or NT
Launaea rarifolia,49,15,0,10,176,32,12,144,18.181818181818183,LC or NT
Launaea rogersii,36,3,2,5,108,20,2,88,18.51851851851852,LC or NT
Launaea rueppellii,1,1,0,1,4,4,0,0,100,CR
Launaea sarmentosa,6,0,0,0,24,0,0,24,0,LC or NT
Launaea taraxacifolia,35,10,1,10,136,40,2,96,29.411764705882355,LC or NT
Laurembergia mildbraedii,7,1,0,1,28,4,4,24,14.285714285714285,LC or NT
Laurembergia repens,1,0,0,0,4,0,0,4,0,LC or NT
Laurembergia tetrandra,70,6,1,4,240,16,17,224,6.666666666666667,LC or NT
Laurentia hedyotidea,1,0,0,0,4,0,0,4,0,LC or NT
Lauridia tetragona,2,0,0,0,8,0,0,8,0,LC or NT
Laurophyllus capensis,1,0,0,0,4,0,0,4,0,LC or NT
Lavandula angustifolia,1,1,0,1,4,4,0,0,100,CR
Lavandula aristibracteata,1,0,0,0,4,0,0,4,0,LC or NT
